省,省确诊,省治愈,省死亡,日期
河北省,218,41,2,2020/2/9
吉林省,80,12,1,2020/2/9
江西省,771,102,1,2020/2/9
新疆维吾尔自治区,49,0,0,2020/2/9
安徽省,830,88,3,2020/2/9
福建省,261,36,0,2020/2/9
湖北省,31728,2277,974,2020/2/10
广东省,1177,211,1,2020/2/10
上海市,303,52,1,2020/2/10
黑龙江省,360,28,8,2020/2/10
北京市,342,48,3,2020/2/10
陕西省,219,32,0,2020/2/10
四川省,417,85,1,2020/2/10
辽宁省,111,19,0,2020/2/10
贵州省,127,13,1,2020/2/10
广西壮族自治区,215,33,1,2020/2/10
浙江省,1117,270,0,2020/2/10
山东省,487,80,1,2020/2/10
云南省,153,20,0,2020/2/10
海南省,142,20,3,2020/2/10
宁夏回族自治区,53,22,0,2020/2/10
甘肃省,86,21,2,2020/2/10
天津市,104,10,2,2020/2/10
重庆市,489,72,2,2020/2/10
江苏省,515,93,0,2020/2/10
河南省,1105,216,7,2020/2/10
湖南省,912,247,1,2020/2/10
山西省,122,30,0,2020/2/10
河北省,239,48,2,2020/2/10
吉林省,81,18,1,2020/2/10
江西省,804,127,1,2020/2/10
新疆维吾尔自治区,55,3,0,2020/2/10
安徽省,860,105,4,2020/2/10
福建省,267,43,0,2020/2/10
青海省,18,5,0,2020/2/10
湖北省,33366,2668,1068,2020/2/11
广东省,1219,275,1,2020/2/11
上海市,311,57,1,2020/2/11
黑龙江省,378,28,8,2020/2/11
北京市,352,56,3,2020/2/11
陕西省,225,43,0,2020/2/11
四川省,436,92,1,2020/2/11
辽宁省,116,20,0,2020/2/11
贵州省,133,18,1,2020/2/11
广西壮族自治区,222,31,1,2020/2/11
浙江省,1131,321,0,2020/2/11
山东省,497,92,2,2020/2/11
云南省,154,25,0,2020/2/11
海南省,157,27,3,2020/2/11
内蒙古自治区,60,6,0,2020/2/11
宁夏回族自治区,58,24,0,2020/2/11
甘肃省,86,28,2,2020/2/11
天津市,110,11,2,2020/2/11
重庆市,509,87,3,2020/2/11
江苏省,543,123,0,2020/2/11
河南省,1135,241,8,2020/2/11
湖南省,946,304,2,2020/2/11
山西省,124,33,0,2020/2/11
河北省,251,54,2,2020/2/11
吉林省,83,21,1,2020/2/11
江西省,844,152,1,2020/2/11
新疆维吾尔自治区,59,3,0,2020/2/11
安徽省,889,127,4,2020/2/11
福建省,272,53,0,2020/2/11
青海省,18,9,0,2020/2/11
西藏自治区,1,1,0,2020/2/11
湖北省,48206,3457,1310,2020/2/12
广东省,1241,308,2,2020/2/12
上海市,315,62,1,2020/2/12
黑龙江省,395,33,9,2020/2/12
北京市,366,68,3,2020/2/12
陕西省,229,46,0,2020/2/12
四川省,451,102,1,2020/2/12
辽宁省,116,22,1,2020/2/12
贵州省,135,27,1,2020/2/12
广西壮族自治区,222,33,2,2020/2/12
浙江省,1145,359,0,2020/2/12
山东省,509,104,2,2020/2/12
云南省,156,27,0,2020/2/12
海南省,157,30,4,2020/2/12
内蒙古自治区,61,6,0,2020/2/12
宁夏回族自治区,64,24,0,2020/2/12
甘肃省,87,34,2,2020/2/12
天津市,117,21,3,2020/2/12
重庆市,525,116,3,2020/2/12
江苏省,570,139,0,2020/2/12
河南省,1169,290,10,2020/2/12
湖南省,968,339,2,2020/2/12
山西省,126,33,0,2020/2/12
河北省,265,68,3,2020/2/12
吉林省,84,22,1,2020/2/12
江西省,872,170,1,2020/2/12
新疆维吾尔自治区,63,6,1,2020/2/12
安徽省,910,156,5,2020/2/12
福建省,279,57,0,2020/2/12
青海省,18,11,0,2020/2/12
西藏自治区,1,1,0,2020/2/12
湖北省,51986,3900,1318,2020/2/13
广东省,1261,362,2,2020/2/13
上海市,318,90,1,2020/2/13
黑龙江省,418,47,11,2020/2/13
北京市,372,80,3,2020/2/13
陕西省,230,54,0,2020/2/13
四川省,463,114,1,2020/2/13
辽宁省,117,29,1,2020/2/13
贵州省,140,28,1,2020/2/13
广西壮族自治区,226,35,2,2020/2/13
浙江省,1155,392,0,2020/2/13
山东省,523,136,2,2020/2/13
云南省,162,36,0,2020/2/13
海南省,158,39,4,2020/2/13
内蒙古自治区,65,6,0,2020/2/13
宁夏回族自治区,67,24,0,2020/2/13
甘肃省,90,39,2,2020/2/13
天津市,120,31,3,2020/2/13
重庆市,532,139,5,2020/2/13
江苏省,593,157,0,2020/2/13
河南省,1184,357,11,2020/2/13
湖南省,988,364,2,2020/2/13
山西省,126,38,0,2020/2/13
河北省,283,87,3,2020/2/13
吉林省,86,25,1,2020/2/13
江西省,900,187,1,2020/2/13
